Named Entity,POS label
Hillary Clinton,PERSON
"250,000",CARDINAL
South Korea,GPE
"250,000",CARDINAL
South Korea,GPE
USMCA,ORG
Michigan,GPE
"41,000",CARDINAL
Obama,PERSON
"600,000",CARDINAL
Foxconn,GPE
Wisconsin,GPE
Fiat-Chrysler,ORG
$4.5 billion,MONEY
Michigan,GPE
first,ORDINAL
Detroit,GPE
General Motors,ORG
$300 million,MONEY
Orion Assembly Plant,ORG
Michigan,GPE
General Motors,ORG
General Motors,ORG
one,CARDINAL
Japan,GPE
$68 billion,MONEY
Shinzo,PERSON
Japan,GPE
the United States,GPE
Japanese,NORP
years,DATE
first,ORDINAL
American,NORP
first,ORDINAL
Democrat,NORP
Americans,NORP
thousands and thousands,CARDINAL
MS13,PERSON
Guatemala,GPE
Honduras,GPE
El Salvador,GPE
"50, 60 years",DATE
500 million,CARDINAL
5,MONEY
June,DATE
two,CARDINAL
Sandusky,GPE
Michigan,GPE
two,CARDINAL
Michigan,GPE
five,CARDINAL
North Carolina,GPE
two,CARDINAL
just a few months ago,DATE
Two,CARDINAL
California,GPE
Earlier this year,DATE
Kent County,GPE
Michigan,GPE
Kent County,GPE
Michigan,GPE
Michigan,GPE
2020,DATE
Republican,NORP
Michigan,GPE
one,CARDINAL
two months,DATE
75%,PERCENT
eight,CARDINAL
"10,000",CARDINAL
Guatemala,GPE
Honduras,GPE
El Salvador,GPE
Schumer,PERSON
Chuck Schumer,PERSON
Chuck,PERSON
Chuck Schumer,PERSON
Chuck Schumer,PERSON
Schumer,PERSON
Chuck Schumer,PERSON
Chuck,PERSON
Carolyn Maloney,PERSON
Democrats,NORP
Democrats,NORP
healthcare,ORG
180 million,CARDINAL
180,CARDINAL
180 million,CARDINAL
Obama,PERSON
28,CARDINAL
IRS,ORG
Republicans,NORP
around $1.8 billion,MONEY
Iran,GPE
Iran,GPE
$1.8 billion,MONEY
Iran,GPE
$1.8 billion,MONEY
$1 million,MONEY
a million,CARDINAL
$1.8 billion,MONEY
Republicans,NORP
Democrat,NORP
Congress,ORG
Republicans,NORP
Democrats,NORP
The Republican party,ORG
American,NORP
American,NORP
American,NORP
Abraham Lincoln,PERSON
$100 million,MONEY
Flint,GPE
Flint,GPE
Flint,GPE
hundreds of millions of dollars,MONEY
a couple of bucks,MONEY
Republican,NORP
America,GPE
Paris Climate Accord,ORG
Paris,GPE
Paris,GPE
France,GPE
Israel,GPE
American,NORP
Jerusalem,GPE
Israeli,NORP
the Golan Heights,LOC
years,DATE
America,GPE
Michigan,GPE
American,NORP
FBI,ORG
Comey,PERSON
James Comey's,PERSON
First,ORDINAL
50%,PERCENT
four years,DATE
years,DATE
a minute,TIME
49 years,DATE
Nine months ago,DATE
the 49 years,DATE
Asia,LOC
Europe,LOC
millions,CARDINAL
Republican,NORP
Congress,ORG
USA,GPE
the last three years,DATE
FDA,ORG
12,CARDINAL
13,DATE
14 years,DATE
America,GPE
10 years,DATE
10 year,DATE
America,GPE
America,GPE
the United States,GPE
thousands,CARDINAL
MS13,PERSON
two,CARDINAL
16 years old,DATE
Nancy Pelosi,PERSON
the Pacific ocean,LOC
San,GPE
the Pacific ocean,LOC
Los Angeles,GPE
San Francisco,GPE
Nancy Pelosi,PERSON
San Francisco,GPE
"30, 40,",DATE
50 years,DATE
American,NORP
American,NORP
Thomas Jefferson,PERSON
Michigan Patriots,ORG
Henry Ford,PERSON
General Motors,ORG
Chrysler,ORG
Kellogg,ORG
Motown,PERSON
Mustang,PRODUCT
Midwest,LOC
American,NORP
mid west,LOC
Michigan,GPE
American,NORP
American,NORP
Democrats,NORP
Michigan,GPE
NATO,ORG
29,CARDINAL
the last year,DATE
Stoltenberg,PERSON
the last period,DATE
$130 billion,MONEY
$530 billion,MONEY
Stoltenberg,PERSON
NATO,ORG
15 years,DATE
Obama,PERSON
Bush,PERSON
100%,PERCENT
NATO,ORG
Europe,LOC
hundreds of billions of dollars,MONEY
China,GPE
China,GPE
China,GPE
NATO,ORG
$530 billion,MONEY
a couple of weeks,DATE
NATO,ORG
$530 billion,MONEY
Obama,PERSON
Germany,GPE
Obama,PERSON
France,GPE
Obama,PERSON
France,GPE
Obama,PERSON
Trump,PERSON
Germany,GPE
Germany,GPE
Germany,GPE
Germany,GPE
one,CARDINAL
one,CARDINAL
one,CARDINAL
one,CARDINAL
America,GPE
Michigan,GPE
a year from now,DATE
America,GPE
America,GPE
America,GPE
America,GPE
America,GPE
Michigan,GPE
